90.364255,23.828335
90.364282,23.827842
90.364237,23.827834
90.364251,23.827341
90.364269,23.826747
90.364278,23.826438
90.364279,23.826382
90.364280,23.826188
90.364282,23.825693
90.364286,23.825198
90.364286,23.825110
90.364287,23.824956
90.364304,23.824687
90.364315,23.824510
90.364354,23.823893
90.364366,23.823705
90.364417,23.822740
90.364420,23.822716
90.363733,23.822706
90.363712,23.823134
90.363697,23.823365
90.363692,23.823482
90.363162,23.823420
90.363185,23.823094
90.363208,23.822717
90.363166,23.822718
90.362748,23.822902
90.362723,23.822914
90.362768,23.822129
90.362792,23.821792
90.362802,23.821569
90.362797,23.821503
90.362789,23.821468
90.362770,23.821420
90.362743,23.821391
90.363027,23.820823
0.000000,0.094080
90.362840,23.804687
90.363150,23.804896
